timestamp,elapsed_min,rss_mb,threads
2026-08-03T01:19:14,0.0,805.9,124
2026-08-03T01:21:14,2.0,808.2,124
2026-08-03T01:23:14,4.0,818.3,125
2026-08-03T01:25:14,6.0,818.6,125
2026-08-03T01:27:14,8.0,818.6,125
2026-08-03T01:29:14,10.0,818.6,125
2026-08-03T01:31:14,12.0,818.6,125
2026-08-03T01:33:14,14.0,818.6,125
2026-08-03T01:35:15,16.0,818.6,125
2026-08-03T01:37:15,18.0,818.6,125
2026-08-03T01:39:15,20.0,818.6,125
2026-08-03T01:41:15,22.0,818.8,123
2026-08-03T01:43:15,24.0,818.8,123
2026-08-03T01:45:15,26.0,818.8,123
2026-08-03T01:47:15,28.0,818.8,123
2026-08-03T01:49:15,30.0,818.8,123
2026-08-03T01:51:15,32.0,818.8,125
2026-08-03T01:53:15,34.0,818.8,125
2026-08-03T01:55:15,36.0,818.8,125
2026-08-03T01:57:16,38.0,818.8,125
2026-08-03T01:59:16,40.0,818.8,125
2026-08-03T02:01:16,42.0,818.8,125
2026-08-03T02:03:16,44.0,818.8,125
2026-08-03T02:05:16,46.0,818.8,125
2026-08-03T02:07:16,48.0,818.8,125
2026-08-03T02:09:16,50.0,818.8,125
2026-08-03T02:11:16,52.0,818.8,123
2026-08-03T02:13:16,54.0,818.8,123
2026-08-03T02:15:16,56.0,818.8,123
2026-08-03T02:17:17,58.0,818.8,123
2026-08-03T02:19:17,60.1,818.8,123
2026-08-03T02:21:17,62.1,818.8,125
2026-08-03T02:23:17,64.1,818.8,125
2026-08-03T02:25:17,66.1,818.8,125
2026-08-03T02:27:17,68.1,818.8,125
2026-08-03T02:29:17,70.1,818.8,125
2026-08-03T02:31:17,72.1,818.8,125
2026-08-03T02:33:17,74.1,818.8,125
2026-08-03T02:35:17,76.1,818.8,125
2026-08-03T02:37:18,78.1,818.8,125
2026-08-03T02:39:18,80.1,818.8,125
2026-08-03T02:41:18,82.1,818.8,123
2026-08-03T02:43:18,84.1,818.8,123
2026-08-03T02:45:18,86.1,818.8,123
2026-08-03T02:47:18,88.1,818.8,123
2026-08-03T02:49:18,90.1,818.8,123
2026-08-03T02:51:18,92.1,818.8,125
2026-08-03T02:53:18,94.1,818.8,125
2026-08-03T02:55:18,96.1,818.8,125
2026-08-03T02:57:19,98.1,818.8,125
2026-08-03T02:59:19,100.1,818.8,125
2026-08-03T03:01:19,102.1,818.8,125
2026-08-03T03:03:19,104.1,818.8,125
2026-08-03T03:05:19,106.1,818.8,125
2026-08-03T03:07:19,108.1,818.8,125
2026-08-03T03:09:19,110.1,818.8,125
2026-08-03T03:11:19,112.1,818.8,123
2026-08-03T03:13:19,114.1,818.8,123
2026-08-03T03:15:19,116.1,818.8,123
2026-08-03T03:17:20,118.1,818.8,123
2026-08-03T03:19:20,120.1,818.8,123
2026-08-03T03:21:20,122.1,818.8,125
2026-08-03T03:23:20,124.1,818.8,125
2026-08-03T03:25:20,126.1,818.8,125
2026-08-03T03:27:20,128.1,818.8,125
2026-08-03T03:29:20,130.1,818.8,125
2026-08-03T03:31:20,132.1,818.8,125
2026-08-03T03:33:20,134.1,818.8,125
2026-08-03T03:35:20,136.1,818.8,125
2026-08-03T03:37:20,138.1,818.8,125
2026-08-03T03:39:21,140.1,818.8,125
2026-08-03T03:41:21,142.1,818.8,123
2026-08-03T03:43:21,144.1,818.8,123
2026-08-03T03:45:21,146.1,818.8,123
2026-08-03T03:47:21,148.1,818.8,123
2026-08-03T03:49:21,150.1,818.8,123
2026-08-03T03:51:21,152.1,818.8,125
2026-08-03T03:53:21,154.1,818.8,125
2026-08-03T03:55:21,156.1,818.8,125
2026-08-03T03:57:21,158.1,818.8,125
2026-08-03T03:59:22,160.1,818.8,125
2026-08-03T04:01:22,162.1,818.8,125
2026-08-03T04:03:22,164.1,818.8,125
2026-08-03T04:05:22,166.1,818.8,125
2026-08-03T04:07:22,168.1,818.8,125
2026-08-03T04:09:22,170.1,818.8,125
2026-08-03T04:11:22,172.1,818.8,123
2026-08-03T04:13:22,174.1,818.8,123
2026-08-03T04:15:22,176.1,818.8,123
2026-08-03T04:17:22,178.1,818.8,123
2026-08-03T04:19:23,180.1,818.8,123
2026-08-03T04:21:23,182.2,818.8,125
2026-08-03T04:23:23,184.2,818.8,125
2026-08-03T04:25:23,186.2,818.8,125
2026-08-03T04:27:23,188.2,818.8,125
2026-08-03T04:29:23,190.2,818.8,125
2026-08-03T04:31:23,192.2,818.8,125
2026-08-03T04:33:23,194.2,818.8,125
2026-08-03T04:35:23,196.2,818.8,125
2026-08-03T04:37:23,198.2,818.8,125
2026-08-03T04:39:24,200.2,818.8,125
2026-08-03T04:41:24,202.2,818.8,123
2026-08-03T04:43:24,204.2,818.8,123
2026-08-03T04:45:24,206.2,818.8,123
2026-08-03T04:47:24,208.2,818.8,123
2026-08-03T04:49:24,210.2,818.8,123
2026-08-03T04:51:24,212.2,818.8,125
2026-08-03T04:53:24,214.2,818.8,125
2026-08-03T04:55:24,216.2,818.8,125
2026-08-03T04:57:24,218.2,818.8,125
2026-08-03T04:59:25,220.2,818.8,125
2026-08-03T05:01:25,222.2,818.8,125
2026-08-03T05:03:25,224.2,818.8,125
2026-08-03T05:05:25,226.2,818.8,125
2026-08-03T05:07:25,228.2,818.8,125
2026-08-03T05:09:25,230.2,818.8,123
2026-08-03T05:11:25,232.2,818.8,123
2026-08-03T05:13:25,234.2,818.8,123
2026-08-03T05:15:25,236.2,818.8,123
2026-08-03T05:17:25,238.2,818.8,123
2026-08-03T05:19:25,240.2,818.8,123
2026-08-03T05:21:26,242.2,818.8,125
2026-08-03T05:23:26,244.2,818.8,125
2026-08-03T05:25:26,246.2,818.8,125
2026-08-03T05:27:26,248.2,818.8,125
2026-08-03T05:29:26,250.2,818.8,125
2026-08-03T05:31:26,252.2,818.8,125
2026-08-03T05:33:26,254.2,818.8,125
2026-08-03T05:35:26,256.2,818.8,125
2026-08-03T05:37:26,258.2,818.8,125
2026-08-03T05:39:26,260.2,818.8,123
2026-08-03T05:41:27,262.2,818.8,123
2026-08-03T05:43:27,264.2,818.8,123
2026-08-03T05:45:27,266.2,818.8,123
2026-08-03T05:47:27,268.2,818.8,123
2026-08-03T05:49:27,270.2,818.8,123
2026-08-03T05:51:27,272.2,818.8,125
2026-08-03T05:53:27,274.2,818.8,125
2026-08-03T05:55:27,276.2,818.8,125
2026-08-03T05:57:27,278.2,818.8,125
2026-08-03T05:59:27,280.2,818.8,125
2026-08-03T06:01:28,282.2,818.8,125
2026-08-03T06:03:28,284.2,818.8,125
2026-08-03T06:05:28,286.2,818.8,125
2026-08-03T06:07:28,288.2,818.8,125
2026-08-03T06:09:28,290.2,818.8,123
2026-08-03T06:11:28,292.2,818.8,123
2026-08-03T06:13:28,294.2,818.8,123
2026-08-03T06:15:28,296.2,818.8,123
2026-08-03T06:17:28,298.2,818.8,123
2026-08-03T06:19:28,300.2,818.8,123
2026-08-03T06:21:29,302.2,818.8,125
2026-08-03T06:23:29,304.3,818.8,125
2026-08-03T06:25:29,306.3,818.8,125
2026-08-03T06:27:29,308.3,818.8,125
2026-08-03T06:29:29,310.3,818.8,125
2026-08-03T06:31:29,312.3,818.8,125
2026-08-03T06:33:29,314.3,818.8,125
2026-08-03T06:35:29,316.3,818.8,125
2026-08-03T06:37:29,318.3,818.8,125
2026-08-03T06:39:29,320.3,818.8,123
2026-08-03T06:41:30,322.3,818.8,123
2026-08-03T06:43:30,324.3,818.8,123
2026-08-03T06:45:30,326.3,818.8,123
2026-08-03T06:47:30,328.3,818.8,123
2026-08-03T06:49:30,330.3,818.8,123
2026-08-03T06:51:30,332.3,818.8,125
2026-08-03T06:53:30,334.3,818.8,125
2026-08-03T06:55:30,336.3,818.8,125
2026-08-03T06:57:30,338.3,818.8,125
2026-08-03T06:59:30,340.3,818.8,125
2026-08-03T07:01:30,342.3,818.8,125
2026-08-03T07:03:31,344.3,818.8,125
2026-08-03T07:05:31,346.3,818.8,125
2026-08-03T07:07:31,348.3,818.8,125
2026-08-03T07:09:31,350.3,818.8,123
2026-08-03T07:11:31,352.3,818.8,123
2026-08-03T07:13:31,354.3,818.8,123
2026-08-03T07:15:31,356.3,818.8,123
2026-08-03T07:17:31,358.3,818.8,123
2026-08-03T07:19:31,360.3,818.8,123
2026-08-03T07:21:31,362.3,818.8,125
2026-08-03T07:23:32,364.3,818.8,125
2026-08-03T07:25:32,366.3,818.8,125
2026-08-03T07:27:32,368.3,818.8,125
2026-08-03T07:29:32,370.3,818.8,125
2026-08-03T07:31:32,372.3,818.8,125
2026-08-03T07:33:32,374.3,818.8,125
2026-08-03T07:35:32,376.3,818.8,125
2026-08-03T07:37:32,378.3,818.8,125
2026-08-03T07:39:32,380.3,818.8,123
2026-08-03T07:41:32,382.3,818.8,123
2026-08-03T07:43:33,384.3,818.8,123
2026-08-03T07:45:33,386.3,818.8,123
2026-08-03T07:47:33,388.3,818.8,123
2026-08-03T07:49:33,390.3,818.8,123
2026-08-03T07:51:33,392.3,818.8,125
2026-08-03T07:53:33,394.3,818.8,125
2026-08-03T07:55:33,396.3,818.8,125
2026-08-03T07:57:33,398.3,818.8,125
2026-08-03T07:59:33,400.3,818.8,125
2026-08-03T08:01:33,402.3,818.8,125
2026-08-03T08:03:33,404.3,818.8,125
2026-08-03T08:05:33,406.3,818.8,125
2026-08-03T08:07:34,408.3,818.8,125
2026-08-03T08:09:34,410.3,818.8,123
2026-08-03T08:11:34,412.3,818.8,123
2026-08-03T08:13:34,414.3,818.8,123
2026-08-03T08:15:34,416.3,818.8,123
2026-08-03T08:17:34,418.3,818.8,123
2026-08-03T08:19:34,420.3,818.8,123
2026-08-03T08:21:34,422.3,818.8,125
2026-08-03T08:23:34,424.3,818.8,125
2026-08-03T08:25:34,426.3,818.8,125
2026-08-03T08:27:34,428.3,818.8,125
2026-08-03T08:29:35,430.3,818.8,125
2026-08-03T08:31:35,432.4,818.8,125
2026-08-03T08:33:35,434.4,818.8,125
2026-08-03T08:35:35,436.4,818.8,125
2026-08-03T08:37:35,438.4,818.8,125
2026-08-03T08:39:35,440.4,818.8,123
2026-08-03T08:41:35,442.4,818.8,123
2026-08-03T08:43:35,444.4,818.8,123
2026-08-03T08:45:35,446.4,818.8,123
2026-08-03T08:47:35,448.4,818.8,123
2026-08-03T08:49:35,450.4,818.8,123
2026-08-03T08:51:36,452.4,818.8,125
2026-08-03T08:53:36,454.4,819.1,134
2026-08-03T08:55:36,456.4,832.8,143
